FID,the_geom,code,timestamp,precip_quantity,precip_range,temp,temp_min,temp_max,temp_grass_min,wind_speed,wind_speed_unit,wind_direction,wind_peak_speed,humidity_relative,weather_current,pressure,pressure_station_level,sun_duration_24hours,short_wave_from_sky_24hours,cloudiness
synop_data.fid--692cef7e_193ba0b33c1_3c6a,POINT (50.980293 3.816003),6434,2023-06-08T01:00:00,,,14.8,,,,1.93,1,32.5,4,83.8,,1018.8,1016.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3c6b,POINT (50.980293 3.816003),6434,2023-06-08T03:00:00,,,13.3,,,,2.284,1,20.9,4.1,90.8,,1018.4,1016.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c6c,POINT (50.980293 3.816003),6434,2023-06-08T02:00:00,,,13.9,,,,2.579,1,24.5,4.1,88.6,,1018.5,1016.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c6d,POINT (50.980293 3.816003),6434,2023-06-08T05:00:00,,,13.4,,,,2.562,1,24.4,4.4,90.9,,1018.5,1016.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c6e,POINT (50.980293 3.816003),6434,2023-06-08T04:00:00,,,12.8,,,,2.108,1,0.2,3.6,93,,1018.5,1016.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c6f,POINT (50.980293 3.816003),6434,2023-06-08T07:00:00,,,15.9,,,,3.8,1,12.2,5.8,77.9,,1018,1016,,,
synop_data.fid--692cef7e_193ba0b33c1_3c70,POINT (50.980293 3.816003),6434,2023-06-08T06:00:00,0,2,14.8,12.8,,8.4,2.701,1,31.2,5.3,84.9,,1018.4,1016.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c71,POINT (50.980293 3.816003),6434,2023-06-08T09:00:00,,,18.6,,,8.4,3.386,1,38.9,6.5,68.8,,1017.6,1015.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3c72,POINT (50.980293 3.816003),6434,2023-06-08T08:00:00,,,17.5,,,,3.309,1,21.4,5.9,72.8,,1018.1,1016.1,,,
synop_data.fid--692cef7e_193ba0b33c1_3c73,POINT (50.980293 3.816003),6434,2023-06-08T11:00:00,,,21.8,,,,4.807,1,24.4,8,60.7,,1016.9,1014.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3c74,POINT (50.980293 3.816003),6434,2023-06-08T10:00:00,,,20.2,,,,3.829,1,29.2,7.3,66.2,,1017.2,1015.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3c75,POINT (50.980293 3.816003),6434,2023-06-08T13:00:00,,,24.2,,,,4.55,1,32.7,7.6,48.7,,1015.7,1013.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3c76,POINT (50.980293 3.816003),6434,2023-06-08T12:00:00,0,1,23.5,,,,3.847,1,40,8,58.9,,1016.3,1014.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c77,POINT (50.980293 3.816003),6434,2023-06-08T15:00:00,,,26.3,,,,4.56,1,43.9,8.9,47,,1014.2,1012.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3c78,POINT (50.980293 3.816003),6434,2023-06-08T14:00:00,,,25.3,,,,5.274,1,62.9,8.9,47.1,,1014.9,1013,,,
synop_data.fid--692cef7e_193ba0b33c1_3c79,POINT (50.980293 3.816003),6434,2023-06-08T17:00:00,,,25.5,,,,5.325,1,47.7,10,44.8,,1013.5,1011.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7a,POINT (50.980293 3.816003),6434,2023-06-08T16:00:00,,,25.9,,,,4.561,1,50.9,8.3,45,,1013.9,1012,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7b,POINT (50.980293 3.816003),6434,2023-06-08T18:00:00,0,2,25,,26.3,,5.001,1,49.9,10,45.1,,1013.3,1011.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7c,POINT (50.980293 3.816003),6434,2023-06-08T19:00:00,,,23.5,,,,4.324,1,21.9,7.6,56,,1013.8,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7d,POINT (50.980293 3.816003),6434,2023-06-08T21:00:00,,,20.9,,,,4.174,1,34.8,7.6,65.5,,1014.6,1012.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7e,POINT (50.980293 3.816003),6434,2023-06-08T20:00:00,,,21.8,,,,3.848,1,26,7,62.5,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3c7f,POINT (50.980293 3.816003),6434,2023-06-08T23:00:00,,,18.5,,,,3.287,1,42.8,4.7,73.9,,1014.4,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c80,POINT (50.980293 3.816003),6434,2023-06-08T22:00:00,,,19.3,,,,2.76,1,25.5,5.7,71.5,,1014.6,1012.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3c81,POINT (50.980293 3.816003),6434,2023-06-09T01:00:00,,,17,,,,2.314,1,51.5,4,79.1,,1013.9,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3c82,POINT (50.980293 3.816003),6434,2023-06-09T00:00:00,0,1,17.6,,,,2.56,1,39.2,7.6,77.6,,1014.3,1012.3,862,27262600,
synop_data.fid--692cef7e_193ba0b33c1_3c83,POINT (50.980293 3.816003),6434,2023-06-09T03:00:00,,,16.1,,,,3.181,1,75.2,4.5,78.2,,1013.5,1011.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3c84,POINT (50.980293 3.816003),6434,2023-06-09T02:00:00,,,16.5,,,,2.418,1,60.4,3.7,79.3,,1013.8,1011.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3c85,POINT (50.980293 3.816003),6434,2023-06-09T05:00:00,,,16.8,,,,2.118,1,80.6,5,73.9,,1013.9,1012,,,
synop_data.fid--692cef7e_193ba0b33c1_3c86,POINT (50.980293 3.816003),6434,2023-06-09T04:00:00,,,16,,,,3.19,1,77,5.2,77.1,,1013.8,1011.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3c87,POINT (50.980293 3.816003),6434,2023-06-09T06:00:00,0,2,18.1,15.8,,10.3,3.778,1,81.7,5.4,70,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3c88,POINT (50.980293 3.816003),6434,2023-06-09T07:00:00,,,19.7,,,,4.105,1,86,6.7,66.4,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3c89,POINT (50.980293 3.816003),6434,2023-06-09T08:00:00,,,21.8,,,,2.892,1,71.3,5.5,60.2,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8a,POINT (50.980293 3.816003),6434,2023-06-09T09:00:00,,,23.5,,,10.3,2.985,1,78.2,6.7,58.9,,1013.9,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8b,POINT (50.980293 3.816003),6434,2023-06-09T10:00:00,,,24.8,,,,2.878,1,83.4,5.9,49.1,,1013.7,1011.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8c,POINT (50.980293 3.816003),6434,2023-06-09T11:00:00,,,26.1,,,,4.996,1,86.5,7.2,47.2,,1013.2,1011.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8d,POINT (50.980293 3.816003),6434,2023-06-09T12:00:00,0,1,27.5,,,,4.439,1,98,8,39.1,,1012.7,1010.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8e,POINT (50.980293 3.816003),6434,2023-06-09T13:00:00,,,28,,,,5.609,1,72.6,9.7,36.6,,1012.3,1010.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c8f,POINT (50.980293 3.816003),6434,2023-06-09T14:00:00,,,28.6,,,,4.305,1,83.6,10,34.8,,1012.1,1010.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3c90,POINT (50.980293 3.816003),6434,2023-06-09T15:00:00,,,28.5,,,,5.647,1,80.2,10.1,33.8,,1011.5,1009.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3c91,POINT (50.980293 3.816003),6434,2023-06-09T17:00:00,,,28.2,,,,5.522,1,74.5,9.4,36.8,,1010.9,1009.1,,,
synop_data.fid--692cef7e_193ba0b33c1_3c92,POINT (50.980293 3.816003),6434,2023-06-09T16:00:00,,,28.6,,,,5.118,1,87.1,9.9,35,,1011.2,1009.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3c93,POINT (50.980293 3.816003),6434,2023-06-09T19:00:00,,,26.7,,,,3.627,1,88.1,7.9,40,,1011.5,1009.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3c94,POINT (50.980293 3.816003),6434,2023-06-09T20:00:00,,,24.8,,,,2.657,1,71.9,4.7,45.5,,1011.9,1010,,,
synop_data.fid--692cef7e_193ba0b33c1_3c95,POINT (50.980293 3.816003),6434,2023-06-09T18:00:00,0,2,27.6,,29.1,,4.387,1,84.2,10.1,38.3,,1011.2,1009.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c96,POINT (50.980293 3.816003),6434,2023-06-09T21:00:00,,,23.7,,,,2.727,1,81.8,7.9,49,,1012.4,1010.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c97,POINT (50.980293 3.816003),6434,2023-06-09T22:00:00,,,22.8,,,,3.244,1,82.3,4.1,50.2,,1012.7,1010.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3c98,POINT (50.980293 3.816003),6434,2023-06-09T23:00:00,,,21.7,,,,2.729,1,91,4.2,54.1,,1013,1011.1,,,
synop_data.fid--692cef7e_193ba0b33c1_3c99,POINT (50.980293 3.816003),6434,2023-06-10T00:00:00,0,1,20.7,,,,2.697,1,93.9,7.9,58.7,,1013.2,1011.2,905,27621400,
synop_data.fid--692cef7e_193ba0b33c1_3c9a,POINT (50.980293 3.816003),6434,2023-06-10T01:00:00,,,20,,,,2.669,1,95.2,3.7,61.3,,1013.3,1011.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c9b,POINT (50.980293 3.816003),6434,2023-06-10T03:00:00,,,18.5,,,,2.235,1,92.6,3.8,66.6,,1013.4,1011.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c9c,POINT (50.980293 3.816003),6434,2023-06-10T02:00:00,,,19.2,,,,2.384,1,89.5,3.8,63.4,,1013.3,1011.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3c9d,POINT (50.980293 3.816003),6434,2023-06-10T05:00:00,,,18.9,,,,2.225,1,89.3,3.8,69.2,,1013.9,1012,,,
synop_data.fid--692cef7e_193ba0b33c1_3c9e,POINT (50.980293 3.816003),6434,2023-06-10T04:00:00,,,18,,,,2.478,1,92.9,3.4,70.2,,1013.5,1011.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3c9f,POINT (50.980293 3.816003),6434,2023-06-10T06:00:00,0,2,20.5,17.9,,10.8,3.467,1,88.5,5.3,65,,1014,1012.1,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca0,POINT (50.980293 3.816003),6434,2023-06-10T07:00:00,,,22.1,,,,3.969,1,92.9,6.1,59.6,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca1,POINT (50.980293 3.816003),6434,2023-06-10T09:00:00,,,25.9,,,10.8,3.698,1,99.4,6.3,49,,1014.4,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca2,POINT (50.980293 3.816003),6434,2023-06-10T08:00:00,,,24.1,,,,3.568,1,92.4,5.9,53.4,,1014.3,1012.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca3,POINT (50.980293 3.816003),6434,2023-06-10T11:00:00,,,28.5,,,,4.637,1,110.9,9.4,35.1,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca4,POINT (50.980293 3.816003),6434,2023-06-10T10:00:00,,,27.5,,,,4.32,1,84.2,7,43.4,,1014.4,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca5,POINT (50.980293 3.816003),6434,2023-06-10T12:00:00,0,1,29.1,,,,4.548,1,84,9.5,33.2,,1013.8,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca6,POINT (50.980293 3.816003),6434,2023-06-10T13:00:00,,,29.7,,,,6.014,1,103,12.9,26.7,,1013.6,1011.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca7,POINT (50.980293 3.816003),6434,2023-06-10T14:00:00,,,30.4,,,,4.164,1,112.5,10.5,29.4,,1013.1,1011.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca8,POINT (50.980293 3.816003),6434,2023-06-10T15:00:00,,,29.5,,,,3.947,1,105,12,28.9,,1013.1,1011.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3ca9,POINT (50.980293 3.816003),6434,2023-06-10T18:00:00,0,2,28.8,,30.6,,3.417,1,91.3,12.9,31.8,,1012.7,1010.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3caa,POINT (50.980293 3.816003),6434,2023-06-10T17:00:00,,,29.7,,,,3.747,1,92.7,7.7,29.5,,1012.6,1010.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3cab,POINT (50.980293 3.816003),6434,2023-06-10T16:00:00,,,30.1,,,,3.912,1,102.4,7.5,28.8,,1012.9,1011,,,
synop_data.fid--692cef7e_193ba0b33c1_3cac,POINT (50.980293 3.816003),6434,2023-06-10T20:00:00,,,24.5,,,,2.313,1,84.4,3.7,45.8,,1013.6,1011.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3cad,POINT (50.980293 3.816003),6434,2023-06-10T19:00:00,,,27.6,,,,2.347,1,88.9,5,34.5,,1013.1,1011.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cae,POINT (50.980293 3.816003),6434,2023-06-10T22:00:00,,,22.4,,,,2.263,1,72.7,3.3,53.3,,1014.5,1012.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3caf,POINT (50.980293 3.816003),6434,2023-06-10T21:00:00,,,24.6,,,,2.784,1,83.9,5,43.8,,1014.2,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb0,POINT (50.980293 3.816003),6434,2023-06-11T00:00:00,0,1,21.3,,,,2.461,1,76.5,5,57.7,,1014.4,1012.4,880,27076600,
synop_data.fid--692cef7e_193ba0b33c1_3cb1,POINT (50.980293 3.816003),6434,2023-06-10T23:00:00,,,22.1,,,,2.573,1,75.8,3.8,53.7,,1014.4,1012.5,,,
