"D_edge","Tair","Tsoi"
30,23.53125,15.953125
0,25.140625,17.109375
15,24.015625,16.40625
135,21.65625,16.015625
120,21.625,16.078125
105,20.890625,16.890625
90,20.671875,16.28125
75,21.609375,16.03125
60,22.125,15.015625
45,22.484375,15.828125
