"D_edge","Tair","Tsoi"
30,21.296875,15.890625
0,23.5,16.703125
15,21.453125,16.234375
135,19.21875,16
120,18.9375,16
105,18.703125,16.875
90,18.65625,16.25
75,19.203125,16
60,19.625,15
45,20.265625,15.75
