"D_edge","Tair","Tsoi"
30,15.96875,16.078125
0,15.546875,16.578125
15,15.75,16.265625
135,15.34375,16.203125
120,15.328125,16.171875
105,15.265625,17.171875
90,15.28125,16.484375
75,15.421875,16.203125
60,15.609375,15.125
45,15.671875,15.84375
