"D_edge","Tair","Tsoi"
30,24.953125,17.28125
0,24.65625,19.46875
15,24.96875,18.3125
135,24.328125,18.125
120,23.65625,18.203125
105,23.5625,19.640625
90,23.328125,18.125
75,24.21875,18
60,24.5,16.375
45,24.796875,17.375
