"D_edge","Tair","Tsoi"
30,30,16.265625
0,30.5625,18.28125
15,30.46875,17.265625
135,27.65625,16.65625
120,27.0625,16.90625
105,33,18.671875
90,31.5625,16.734375
75,28,16.578125
60,28.5625,15.484375
45,29.34375,16.359375
