"D_edge","Tair","Tsoi"
30,27.5,17.015625
0,27.484375,19.40625
15,27.6875,18.203125
135,27.15625,17.828125
120,25.921875,18.046875
105,25.828125,19.75
90,25.75,17.953125
75,27.859375,17.78125
60,27.4375,16.234375
45,27.515625,17.21875
