"D_edge","Tair","Tsoi"
30,28.25,16.421875
0,28.453125,18.53125
15,28.578125,17.546875
135,26.859375,16.9375
120,26.3125,17.21875
105,27.328125,19.25
90,26.9375,17.109375
75,27.5,16.84375
60,27.3125,15.671875
45,27.96875,16.5625
