"D_edge","Tair","Tsoi"
30,18.484375,15.953125
0,20,16.46875
15,18.90625,16.125
135,17.15625,16
120,16.96875,16
105,16.875,16.890625
90,16.875,16.3125
75,17.140625,16
60,17.609375,15
45,18.203125,15.75
