"D_edge","Tair","Tsoi"
30,15.359375,15.0625
0,15.296875,15
15,15.625,15.109375
135,14.8125,14.625
120,14.65625,14.5
105,14.390625,14.6875
90,14.40625,14.75
75,14.859375,14.625
60,14.984375,14.625
45,15.1875,14.703125
