"D_edge","Tair","Tsoi"
30,15.859375,16.140625
0,15.484375,16.734375
15,15.59375,16.390625
135,15.390625,16.328125
120,15.40625,16.296875
105,15.3125,17.328125
90,15.34375,16.578125
75,15.421875,16.328125
60,15.53125,15.171875
45,15.59375,15.921875
