"D_edge","Tair","Tsoi"
30,22.515625,17.375
0,21.90625,19.234375
15,22.25,18.21875
135,22.125,18.09375
120,21.71875,18.125
105,21.5625,19.5
90,21.5,18.125
75,21.90625,17.921875
60,22.15625,16.375
45,22.359375,17.40625
