"D_edge","Tair","Tsoi"
30,25.828125,16.015625
0,27.34375,17.59375
15,26.703125,16.671875
135,24.171875,16.171875
120,23.984375,16.296875
105,24.625,17.046875
90,22.625,16.375
75,23.953125,16.171875
60,24.984375,15.125
45,25.171875,15.953125
