"D_edge","Tair","Tsoi"
30,12.6875,15.28125
0,12.515625,15.25
15,12.53125,15.25
135,13.03125,14.875
120,12.96875,14.75
105,12.75,14.9375
90,12.6875,15
75,12.625,14.875
60,12.6875,14.75
45,12.65625,14.890625
