"D_edge","Tair","Tsoi"
30,16.46875,16.234375
0,16.078125,16.859375
15,16.25,16.53125
135,15.921875,16.453125
120,15.90625,16.453125
105,15.859375,17.5
90,15.875,16.6875
75,15.984375,16.421875
60,16.15625,15.25
45,16.171875,16
